شناسه,نوع,"شناسه محصول","GTIN UPC، EAN یا ISBN",نام,"منتشر شده","ویژه است؟","قابلیت نمایش در کاتالوگ","توضیح کوتاه",توضیحات,"تاریخ شروع حراجی","تاریخ پایان حراجی","وضعیت مالیات","کلاس مالیاتی","در انبار؟",انبار,"میزان کمبود در انبار","پیش خرید فعال است؟","فروش به صورت تکی؟","وزن (کیلوگرم)","درازا (سانتیمتر)","پهنا (سانتیمتر)","بلندا (سانتیمتر)","اجازه ارسال نقد و بررسی کاربر امکان پذیر است؟","یادداشت خرید","قیمت فروش فوق‌العاده","قیمت اصلی",دسته‌ها,برچسب‌ها,"کلاس ارسال",تصاویر,"محدودیت دانلود","انقضای دانلود (روز)",مادر,"محصولات گروهی","بیش فروش ها","فروش مکمل","لینک خارجی","متن دکمه","موقعیت قرارگیری",برندها,"نام ویژگی 1","مقدار ویژگی 1","ویژگی 1 قابل مشاهده است","ویژگی سراسری 1","ویژگی پیشفرض 1","نام ویژگی 2","مقدار ویژگی 2","ویژگی 2 قابل مشاهده است","ویژگی سراسری 2","ویژگی پیشفرض 2","نام ویژگی 3","مقدار ویژگی 3","ویژگی 3 قابل مشاهده است","ویژگی سراسری 3","نام ویژگی 4","مقدار ویژگی 4","ویژگی 4 قابل مشاهده است","ویژگی سراسری 4","نام ویژگی 5","مقدار ویژگی 5","ویژگی 5 قابل مشاهده است","ویژگی سراسری 5","نام ویژگی 6","مقدار ویژگی 6","ویژگی 6 قابل مشاهده است","ویژگی سراسری 6"
11888,variable,SKU_00001,,"بای کیلیان آنجلز شر | By Kilian Angels’ Share",1,0,visible,"<ul>\n 	<li>رایحه: شرین , گرم</li>\n 	<li><span class=""jet-listing-dynamic-terms__prefix"">فصل: پاییز<span class=""jet-listing-dynamic-terms__delimiter"">,</span> زمستان</span></li>\n 	<li>ماندگاری: 6 ساعت (ادکلن)</li>\n 	<li>پخش بو (خط بو): قوی</li>\n 	<li>برند: By Kilian</li>\n</ul>","<p>چارت آکوردها </p>				\n				Woody - چوبی\n				citrus - مرکبات\n				Sweet - شیرین\n				Vanilla - وانیلی\n				Cinnamon - دارچین\n				Amber - امبر\n				Powdery - پودری\n					<h2>مشخصات عطر </h2>				\n							<ul>\n							<li>\n										ماندگاری : 8 ساعت \n									</li>\n						</ul>\n							<ul>\n							<li>\n							<svg xmlns=""http://www.w3.org/2000/svg"" xmlns:xlink=""http://www.w3.org/1999/xlink"" width=""512"" height=""512"" x=""0"" y=""0"" viewBox=""0 0 60 60"" style=""enable-background:new 0 0 512 512"" xml:space=""preserve""><g><path d=""M40.33 42.37c-.34 0-.66-.17-.85-.47-.29-.47-.14-1.09.33-1.38 1.53-.94 2.39-2.12 2.63-3.59.59-3.64-2.83-7.81-2.87-7.85a1.001 1.001 0 1 1 1.54-1.28c.17.2 4.05 4.9 3.31 9.45-.33 2.05-1.53 3.73-3.55 4.98-.18.09-.36.14-.54.14zM37.95 38.53c-.26 0-.53-.1-.73-.31-4.57-4.82-9.42-1.67-9.62-1.54-.46.3-1.08.18-1.39-.27a.986.986 0 0 1 .27-1.38c.06-.04 6.43-4.25 12.19 1.82.38.4.36 1.03-.04 1.41a.96.96 0 0 1-.68.27z"" fill=""#8e1eff"" opacity=""1"" data-original=""#000000""></path><path d=""M33.76 47.64a1 1 0 0 1-1-.99c-.02-1.99-.46-3.39-1.31-4.18-.66-.61-1.59-.87-2.83-.8-6.33.38-8.96-2.25-9.97-3.84-1.27-2.03-1.39-4.61-.29-6.59C24.91 19.48 31.53 5.71 31.6 5.57c.24-.5.84-.71 1.33-.47.5.24.71.84.47 1.33-.07.14-6.71 13.97-13.29 25.78-.61 1.1-.78 2.94.23 4.55 1.33 2.11 4.22 3.14 8.15 2.91 1.8-.11 3.25.34 4.31 1.33 1.26 1.17 1.91 3.06 1.94 5.62a.997.997 0 0 1-.99 1.01c.02.01.01.01.01.01zM19.98 52.52c-.26 0-.52-.1-.71-.3a.987.987 0 0 1 .01-1.41l4.97-4.93a.987.987 0 0 1 1.41.01c.39.39.39 1.03-.01 1.41l-4.97 4.93c-.19.19-.45.29-.7.29zM16.5 48.49c-.36 0-.7-.19-.88-.52-.26-.49-.08-1.09.4-1.36l6.07-3.28c.49-.26 1.09-.08 1.36.4.26.49.08 1.09-.4 1.36l-6.07 3.28c-.15.08-.32.12-.48.12zM26.88 55c-.06 0-.12 0-.17-.02a1 1 0 0 1-.81-1.16l1.14-6.51a1 1 0 1 1 1.97.35l-1.14 6.51c-.09.49-.51.83-.99.83z"" fill=""#8e1eff"" opacity=""1"" data-original=""#000000""></path></g></svg>						\n										پخش بو  : قوی \n									</li>\n						</ul>\n					<h2>تایم روز </h2>				\n				 روز \n				شب\n					<h2>فصل ها </h2>				\n				بهار 			\n				تابستان			\n				پاییز			\n				زمستان 			\n					<p>پروفایل عطری</p>				\n		<table><tbody><tr><td><p><b>نام عطر:</b></p></td><td><p>By Kilian Angels' Share بای کیلیان آنجلز شر</p></td></tr><tr><td><p><b>برند:</b></p></td><td><table><tbody><tr><td><p>By Kilian – بای کیلیان</p></td></tr></tbody></table></td></tr><tr><td><p style=""text-align: right;""><b>جنسیت:</b></p></td><td><table><tbody><tr><td><p style=""text-align: right;"">آقایان, خانم ها, یونیسکس</p></td></tr></tbody></table></td></tr><tr><td><p><b>رایحه:</b></p></td><td><p>شیرین, گرم</p></td></tr><tr><td><p><b>گروه بویایی:     </b></p></td><td><p>شرقی وانیلی</p></td></tr><tr><td><p><b>موقعیت:</b></p></td><td><p>آکادمیک, جلسات اداری, قرارهای دوستانه, قرارهای عاشقانه, مهمانی رسمی</p></td></tr><tr><td><p><b>فصل:</b></p></td><td><p>پاییز, زمستان</p></td></tr><tr><td><p><b>نت های اولیه:</b></p></td><td>Cognac-کنیاک</td></tr><tr><td><p><b>نت های میانی:        </b></p></td><td><p>Cinnamon-دارچین, Oak-درخت بلوط, Tonka Bean-دانه تونکا</p></td></tr><tr><td><p><b>نت های پایه:</b></p></td><td><p>Praline-پرالین, Sandalwood-چوب صندل, Vanilla-وانیل</p></td></tr><tr><td><p><b>کشور مبدا:</b></p></td><td><p>فرانسه</p></td></tr><tr><td><p><b>سال عرضه:</b></p></td><td><p>2020</p></td></tr></tbody></table>		\n					<p>درباره محصول\n</p>				\n		<h3 data-start=""174"" data-end=""227"">عطر بای کیلیان انجلز شر (By Kilian Angels' Share)</h3><p data-start=""229"" data-end=""510""><strong data-start=""229"" data-end=""250"">عطر Angels’ Share</strong> از برند لوکس <strong data-start=""264"" data-end=""277"">By Kilian</strong> رایحه‌ای گرم، شیرین و دل‌انگیز با ساختاری <strong data-start=""320"" data-end=""337"">شرقی و وانیلی</strong> دارد که هم برای بانوان و هم برای آقایان طراحی شده است. این عطر خاص در سال <strong data-start=""412"" data-end=""420"">۲۰۲۰</strong> معرفی شد و خالق آن <strong data-start=""440"" data-end=""473"">بنوآ لاپوزا (Benoist Lapouza)</strong>، یکی از عطرسازان برجسته فرانسوی است.</p><p data-start=""512"" data-end=""826"">در نت آغازین، رایحه <strong data-start=""532"" data-end=""541"">کنیاک</strong> حسی گرم، عمیق و مست‌کننده را منتقل می‌کند. در قلب این عطر، ترکیبی دلنشین از <strong data-start=""618"" data-end=""658"">دارچین، دانه تونکا، چوب بلوط و هدیون</strong> فضایی اغواگر و خاص ایجاد می‌کند. در نت پایانی نیز، بوی <strong data-start=""714"" data-end=""754"">وانیل، پرالین، چوب صندل و بادام شکری</strong> ماندگاری شیرین و جذابی به جا می‌گذارد که به‌تدریج بر روی پوست می‌نشیند.</p><p data-start=""828"" data-end=""1126"">این عطر الهام‌گرفته از میراث خانوادگی <strong data-start=""866"" data-end=""881"">کیلیان هنسی</strong> در هنر ساخت کنیاک است؛ جایی که در فرآیند کهنه‌شدن کنیاک، بخشی از مایع به مرور تبخیر می‌شود و عطر آن همچون <strong data-start=""988"" data-end=""1018"">هدیه‌ای خاموش برای فرشتگان</strong> به هوا می‌رود؛ پدیده‌ای که در دنیای کنیاک‌سازی با عنوان <strong data-start=""1075"" data-end=""1109"">""Angels’ Share"" یا سهم فرشتگان</strong> شناخته می‌شود.</p><p data-start=""1128"" data-end=""1346"">ترکیب دقیق و استادانه رایحه‌ها در این عطر همانند ساخت یک کنیاک اصیل است؛ آغاز با بوی عمیق کنیاک، سپس نت‌های چوب بلوط، دارچین و تونکا و در پایان ماندگاری دلپذیر وانیل و چوب صندل، تجربه‌ای لوکس و فراموش‌نشدنی خلق می‌کند.</p><p data-start=""1603"" data-end=""1908""><b>این عطر زنانه ، مردانه در حجم‌های ۱۰، ۳۰، ۵۰ و ۱۰۰ میلی‌لیتر و در غلظت‌های ادوکلن، ادوتویلت، ادوپرفیوم و اکستریت پرفیوم قابل سفارش بوده و مطابق انتخاب شما ساخته و ارسال می‌شود.</b></p>",,,taxable,,1,,,0,0,,,,,1,,,,"فصل > پاییز, کلاسیک و مدرن > ترندها, جنسیت, موقعیت ها > رسمی و کاری, فصل > زمستان, جنسیت > زنانه, موقعیت ها > شبانه و مهمانی, موقعیت ها > عطرهای تاثیرگذار, فصل, کلاسیک و مدرن, جنسیت > مردانه, موقعیت ها",,,"https://atrishaa.com/wp-content/uploads/2025/09/angelshare4.webp, https://atrishaa.com/wp-content/uploads/2025/09/angelshare2.webp, https://atrishaa.com/wp-content/uploads/2026/02/all-product-purble-final.png",,,,,,,,,0,"By kilian",حجم,"10 میل, 100 میل, 30 میل, 50 میل",1,0,"10 میل","غلظت عطر","ادکلن, ادو تویلت, اکسترا پرفیوم, پرفیوم",1,0,ادکلن,جنسیت,"زنانه, مردانه",1,1
11889,variation,SKU_00002,,"بای کیلیان آنجلز شر | By Kilian Angels’ Share",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,1169000,,,,,,,SKU_00001,,,,,,14,,حجم,"10 میل",,0,,"غلظت عطر","اکسترا پرفیوم",,0,,,,,
11921,variation,SKU_00003,,"بای کیلیان آنجلز شر | By Kilian Angels’ Share",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,2633000,,,,,,,SKU_00001,,,,,,13,,حجم,"30 میل",,0,,"غلظت عطر","اکسترا پرفیوم",,0,,,,,
11922,variation,SKU_00004,,"بای کیلیان آنجلز شر | By Kilian Angels’ Share",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,4096000,,,,,,,SKU_00001,,,,,,14,,حجم,"50 میل",,0,,"غلظت عطر","اکسترا پرفیوم",,0,,,,,
11923,variation,SKU_00005,,"بای کیلیان آنجلز شر | By Kilian Angels’ Share",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,6618000,,,,,,,SKU_00001,,,,,,13,,حجم,"100 میل",,0,,"غلظت عطر","اکسترا پرفیوم",,0,,,,,
11944,variation,SKU_00006,,"بای کیلیان آنجلز شر | By Kilian Angels’ Share",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,1089000,,,,,,,SKU_00001,,,,,,12,,حجم,"10 میل",,0,,"غلظت عطر",پرفیوم,,0,,,,,
11945,variation,SKU_00007,,"بای کیلیان آنجلز شر | By Kilian Angels’ Share",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,2051000,,,,,,,SKU_00001,,,,,,11,,حجم,"30 میل",,0,,"غلظت عطر",پرفیوم,,0,,,,,
11946,variation,SKU_00008,,"بای کیلیان آنجلز شر | By Kilian Angels’ Share",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,3490000,,,,,,,SKU_00001,,,,,,10,,حجم,"50 میل",,0,,"غلظت عطر",پرفیوم,,0,,,,,
11947,variation,SKU_00009,,"بای کیلیان آنجلز شر | By Kilian Angels’ Share",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,5772000,,,,,,,SKU_00001,,,,,,9,,حجم,"100 میل",,0,,"غلظت عطر",پرفیوم,,0,,,,,
11949,variation,SKU_00010,,"بای کیلیان آنجلز شر | By Kilian Angels’ Share",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,983000,,,,,,,SKU_00001,,,,,,8,,حجم,"10 میل",,0,,"غلظت عطر","ادو تویلت",,0,,,,,
